District ID ,"Crime Rate 
(per 1M Residents)",Violent Crime Rate (per 100K Residents),Annual Police Funding (Dollars per Resident),,,,,,,,
97,437,148,36,,,,,,,,
96,819,369,30,,,,,,,,
83,799,693,35,,,,,,,,
81,548,226,31,,,,,,,,
74,432,98,23,,,,,,,,
71,989,1375,22,,,,,,,,
68,494,213,32,,,,,,,,
65,371,245,16,,,,,,,,
62,815,706,30,,,,,,,,
58,491,809,32,,,,,,,,
57,541,109,44,,,,,,,,
55,1504,1441,37,,,,,,,,
54,514,29,30,,,,,,,,
51,919,692,39,,,,,,,,
50,603,260,25,,,,,,,,
47,732,1517,44,,,,,,,,
46,867,942,39,,,,,,,,
45,570,387,30,,,,,,,,
44,478,184,40,,,,,,,,
42,715,457,44,,,,,,,,
40,773,327,67,,,,,,,,
39,546,102,33,,,,,,,,
38,821,1139,30,,,,,,,,
37,357,218,35,,,,,,,,
36,652,630,29,,,,,,,,
35,805,989,46,,,,,,,,
34,424,38,36,,,,,,,,
33,341,565,31,,,,,,,,
32,912,1017,27,,,,,,,,
31,619,608,33,,,,,,,,
30,484,325,34,,,,,,,,
28,783,1024,55,,,,,,,,
27,936,433,43,,,,,,,,
26,462,216,36,,,,,,,,
25,792,827,28,,,,,,,,
24,859,673,38,,,,,,,,
23,623,254,38,,,,,,,,
22,1419,631,43,,,,,,,,
21,776,404,32,,,,,,,,
20,457,118,29,,,,,,,,
19,506,137,35,,,,,,,,
17,940,1244,66,,,,,,,,
16,1740,3545,86,,,,,,,,
15,547,697,44,,,,,,,,
13,643,347,57,,,,,,,,
12,1324,1022,82,,,,,,,,
11,760,451,32,,,,,,,,
10,439,448,31,,,,,,,,
8,657,879,33,,,,,,,,
1,863,601,20,,,,,,,,
